청각	ㅊㅓㅇㄱㅏㄱ	청각과의 해초. 높이는 15~40cm이며, 식물체는 짙은 녹색을 띠고 세포성 격막이 없어 원형질이 모두 연결된 비세포성 다핵체를 이루고 있다. 김장 때 김치의 고명으로 쓰기도 하고 그냥 무쳐 먹기도 한다. 파도의 영
연금	ㅇㅕㄴㄱㅡㅁ	쇠붙이를 불에 달구어 두드려 단련함.
통화	ㅌㅗㅇㅎㅗㅏ	유통 수단이나 지불 수단으로서 기능하는 화폐. 본위 화폐, 은행권, 보조 화폐, 정부 지폐, 예금 통화 따위가 있다. ≒유통 화폐·통용화.
훈장	ㅎㅜㄴㅈㅏㅇ	교훈의 편지.
중국	ㅈㅜㅇㄱㅜㄱ	꽃송이가 대국과 소국의 중간 크기인 국화. ≒중륜(中輪).
축제	ㅊㅜㄱㅈㅓㅣ	둑을 쌓는 일.
매복	ㅁㅏㅣㅂㅗㄱ	돈을 받고 점을 쳐 줌.
금융	ㄱㅡㅁㅇㅠㅇ	금전을 융통하는 일. 특히 이자를 붙여서 자금을 대차하는 일과 그 수급 관계를 이른다.
중력	ㅈㅜㅇㄹㅕㄱ	1. 지구 위의 물체가 지구 중심으로부터 받는 힘. 지구와 물체 사이의 만유인력과 지구의 자전에 따른 물체의 구심력을 합한 힘으로, 그 크기는 지구 위의 장소에 따라 다소 차이가 나며, 적도 부근이 가장 작다. 2.
대변	ㄷㅏㅣㅂㅕㄴ	복식 부기의 분개법(分介法)에서, 장부상의 계정계좌의 오른쪽 부분. 자산(資産)의 감소(減少), 부채나 자본의 증가, 이익의 발생 따위를 기입한다. ≒대방(貸方).
양반	ㅇㅑㅇㅂㅏㄴ	한 냥에 닷 돈을 더한 금액.
보드카	ㅂㅗㄷㅡㅋㅏ	러시아의 대표적인 술. 보리, 호밀, 밀, 옥수수 따위에 맥아를 넣어 당화·발효시켜 증류한 다음에 자작나무의 숯으로 탈취하고 여과하여 만든다. 알코올 40~60%로 무색투명하고 무미·무취이므로 칵테일용으로 흔히 쓴다
대화	ㄷㅏㅣㅎㅗㅏ	줄기가 띠 모양으로 편평하게 변함. 또는 그런 식물 기형. 뿌리와 줄기에 나타난다.
인민	ㅇㅣㄴㅁㅣㄴ	백성을 사랑하고 인정을 베풂.
영감	ㅇㅕㅇㄱㅏㅁ	=널.
목록	ㅁㅗㄱㄹㅗㄱ	=디렉터리.
내심	ㄴㅏㅣㅅㅣㅁ	'마음'을 외상(外象)에 상대하여 이르는 말.
미이라	ㅁㅣㅇㅣㄹㅏ	'미라(mirra)'의 잘못.
결국	ㄱㅕㄹㄱㅜㄱ	얼굴, 묏자리, 집터 따위가 형국(形局)을 완전히 갖춤.
와선	ㅇㅗㅏㅅㅓㄴ	'나선'의 전 용어.
국내	ㄱㅜㄱㄴㅏㅣ	2. 관청이나 회사 따위의 국(局)의 안.
해적	ㅎㅏㅣㅈㅓㄱ	공해(公海) 상에서 사적(私的) 목적을 위하여 다른 배에 대해서 또는 배 안에서 폭행이나 약탈 행위를 하는 사람.
일명	ㅇㅣㄹㅁㅕㅇ	=서얼(庶孼).
중년	ㅈㅜㅇㄴㅕㄴ	1. 나이를 거듭 많이 먹음. 2. 임기의 연한을 거듭함.
단골	ㄷㅏㄴㄱㅗㄹ	길이, 넓이, 두께 따위가 거의 같은 작은 뼈. 손발의 작은 뼈 따위이다. ≒짧은뼈.
침대	ㅊㅣㅁㄷㅏㅣ	1. 침(鍼)의 몸을 이루는 긴 대. 2. 낱낱의 침.
상병	ㅅㅏㅇㅂㅕㅇ	상처를 입거나 앓는 일.
날씨	ㄴㅏㄹㅅㅅㅣ	=날씨도.【＜□씨≪번역노걸대(1517)≫←□+씨】
예전	ㅇㅕㅣㅈㅓㄴ	=전례(篆隷).
결제	ㄱㅕㄹㅈㅓㅣ	1. 안거(安居) 제도를 준수함. 2. 안거를 시작함.
삼촌	ㅅㅏㅁㅊㅗㄴ	2. 직계로는 자기나 배우자로부터 삼대 위나 삼대 아래의 친족, 방계로는 부모와 같은 항렬의 백부모·숙부모 또는 형제의 자녀와의 촌수.
선반	ㅅㅓㄴㅂㅏㄴ	각종 금속 소재를 회전 운동을 시켜서 갈거나 파내거나 도려내는 데 쓰는 공작 기계. '갈이판', '돌이판'으로 순화. ≒선반기·선조기(旋造機).
제품	ㅈㅓㅣㅍㅜㅁ	사물의 가치나 우열을 문예적으로 평가하는 일. ≒품제(品題).
전국	ㅈㅓㄴㄱㅜㄱ	=전장(錢莊).
적응	ㅈㅓㄱㅇㅡㅇ	주위 환경과 생활이 조화를 이룸. 또는 그런 상태. 환경을 변화시켜 적응하는 경우와 스스로를 변화시켜 적응하는 경우가 있다.
설계	ㅅㅓㄹㄱㅕㅣ	눈이 여름철에도 녹지 않고 그대로 남아 있는 높은 산골짜기.
출현	ㅊㅜㄹㅎㅕㄴ	행성이나 위성에 가려졌던 천체가 다시 나타남.
화분	ㅎㅗㅏㅂㅜㄴ	종자식물의 수술의 꽃밥 속에 들어 있는 꽃의 가루. 바람, 물, 곤충 따위를 매개로 암술머리에 운반된다. ≒꽃가루·예분.
훈련	ㅎㅜㄴㄹㅕㄴ	일정한 목표나 기준에 도달할 수 있도록 만드는 실제적 교육 활동. 정신적인 것과 기술적인 것이 있다.
매형	ㅁㅏㅣㅎㅕㅇ	손위 누이의 남편. ≒인형·자부·자서·자형.
질문	ㅈㅣㄹㅁㅜㄴ	국회법에 따라, 국회의원이 정부에 대하여 일정한 사항에 관하여 설명을 요구하고 그 의견을 묻는 일. 서면 질문의 경우 질문 요지서를 작성하여 의장에게 제출하면 의장은 이를 정부에 이송하고, 정부는 이 질문 요지서를 
의역	ㅇㅡㅣㅇㅕㄱ	의관(醫官)과 역관(譯官)을 아울러 이르는 말.
시치미	ㅅㅣㅊㅣㅁㅣ	1. 매의 주인을 밝히기 위하여 주소를 적어 매의 꽁지털 속에다 매어 둔 네모꼴의 뿔. ≒단장판. 2. 자기가 하고도 아니한 체, 알고도 모르는 체하는 태도.
날개	ㄴㅏㄹㄱㅏㅣ	윷판의 끝에서 넷째 자리. 곧 쨀밭에서 둘째 자리를 이른다.
점화	ㅈㅓㅁㅎㅗㅏ	내연 기관에서 실린더 안의 연료를 폭발시키기 위하여 가스체에 가열 또는 전기 불꽃을 접촉시킴. 또는 그런 일.
천식	ㅊㅓㄴㅅㅣㄱ	천한 자식이란 뜻으로, 남에게 자기 자식을 낮추어 이르는 말.
제외	ㅈㅓㅣㅇㅗㅣ	따로 떼어 내어 한데 헤아리지 않음.
한통	ㅎㅏㄴㅌㅗㅇ	찬 기운으로 인하여 아픈 것.
소다수	ㅅㅗㄷㅏㅅㅜ	=탄산수.
문학	ㅁㅜㄴㅎㅏㄱ	들어서 배움.
