가객	ㄱㅏㄱㅏㅣㄱ	
가거처	ㄱㅏㄱㅓㅊㅓ	=가거지지.
가고처	ㄱㅏㄱㅗㅊㅓ	참고하거나 잘 생각해 볼 만한 곳.
가곽	ㄱㅏㄱㅗㅏㄱ	가로(街路)와 가로 사이를 차지하는 한 구역. ≒가구(街區).
가관	ㄱㅏㄱㅗㅏㄴ	노래와 악기를 아울러 이르는 말.
가광	ㄱㅏㄱㅗㅏㅇ	보충하여 바로잡음.
가교마	ㄱㅏㄱㅛㅁㅏ	가교를 끌던 말.
가교사	ㄱㅏㄱㅛㅅㅏ	
가구소	ㄱㅏㄱㅜㅅㅗ	고려 시대에, 수도에 소재하였던 감옥. 문종 30년(1076)에 설치되었다. ≒가구옥.
가구자	ㄱㅏㄱㅜㅈㅏ	=구자(□子).
가구주	ㄱㅏㄱㅜㅈㅜ	한 가구를 이끄는 주가 되는 사람.
가권	ㄱㅏㄱㅜㅓㄴ	2. 남에게 자기의 아내를 낮추어 이르는 말.
가뀌	ㄱㅏㄱㄱㅜㅣ	'까뀌'의 잘못.
가나무	ㄱㅏㄴㅏㅁㅜ	1. =개오동나무. 2. =떡갈나무.
가넷	ㄱㅏㄴㅓㅣㅅ	=반모기(反毛機).
가다니	ㄱㅏㄷㅏㄴㅣ	심마니들의 은어로, '송충이'를 이르는 말.
가도교	ㄱㅏㄷㅗㄱㅛ	=육교(陸 橋) .
가도구	ㄱㅏㄷㅗㄱㅜ	집안 살림에 쓰는 도구.
가도리	ㄱㅏㄷㅗㄹㅣ	'덧두리'의 잘못.
가도조	ㄱㅏㄷㅗㅈㅗ	농작물을 수확하기 전에 수확량을 어림하여 농민들에게서 미리 거두어들이던 도조. ≒가도(假賭).
가두리	ㄱㅏㄷㅜㄹㅣ	'덧두리'의 잘못.
가라도	ㄱㅏㄹㅏㄷㅗ	1967년 황병기가 작곡한 가야금 독주곡. '가라도'는 가야금의 명인 우륵이 사랑하던 고을 이름이다.
